month,yield
2024-12,0.012449
2025-01,0.012588
2025-02,0.012537
2025-03,0.013396
2025-04,0.014256
2025-05,0.013242
2025-06,0.012828
2025-07,0.012344
2025-08,0.012187
2025-09,0.01192
2025-10,0.011703
2025-11,0.011745
2025-12,0.011604
2026-01,0.011517
2026-02,0.011617
2026-03,0.012077
2026-04,0.011584
2026-05,0.010902
2026-06,0.010876
